2022-12-10 05:08:15,318 - ('bat2 nabiti', -0.3728523333867391)
2022-12-10 05:08:16,977 - ('bat2 vybiti', -6.271998087565104e-05)
2022-12-10 05:08:18,231 - ('suma minutpro bat1', -0.020721423625946044)
2022-12-10 05:08:19,894 - ('suma minut vybiti pro bat1', -0.01094290018081665)
2022-12-10 05:08:53,975 - ('bat2 nabiti', -0.5407984932263692)
2022-12-14 17:23:30,720 - ('bat2 nabiti', -0.7220330317815145)
2022-12-14 17:24:02,558 - ('bat2 vybiti', -0.5003982424736023)
2022-12-15 02:28:18,824 - ('suma minutpro bat1', -0.011027912298838297)
2022-12-15 02:33:40,048 - ('suma minutpro bat1', -1.93063272635142)
2022-12-15 03:01:46,458 - ('suma minutpro bat1', -2.9819732189178465)
2022-12-15 03:07:01,213 - ('suma minutpro bat1', -0.5384292880694072)
2022-12-15 03:10:21,333 - ('suma minutpro bat1', -1.7669225931167603)
2022-12-15 03:10:23,024 - ('suma minut vybiti pro bat1', -0.011250174045562744)
2022-12-15 03:23:07,044 - ('suma minutpro bat1', -12.30086848338445)
2022-12-15 03:25:14,948 - ('suma minut vybiti pro bat1', -2.1148295919100444)
2022-12-15 03:35:52,527 - ('suma minutpro bat1', -1.2337101141611735)
2022-12-15 03:37:44,119 - ('suma minut vybiti pro bat1', -1.842963441212972)
2022-12-15 03:42:37,423 - ('suma minutpro bat1', -2.12572834889094)
2022-12-15 03:44:14,443 - ('suma minut vybiti pro bat1', -1.5866902589797973)
2022-12-15 03:45:12,305 - ('suma minutpro bat1', -0.5413742740948995)
2022-12-15 03:45:30,385 - ('suma minut vybiti pro bat1', -0.2710345188776652)
2022-12-15 03:47:46,479 - ('suma minutpro bat1', -1.76460995276769)
2022-12-15 03:48:04,416 - ('suma minut vybiti pro bat1', -0.27088949680328367)
2022-12-15 03:49:52,524 - ('suma minutpro bat1', -1.7635509649912515)
2022-12-15 03:50:10,635 - ('suma minut vybiti pro bat1', -0.2711205323537191)
2022-12-15 05:24:14,676 - ('bat2 nabiti', -8.153518040974935e-05)
2022-12-15 05:24:45,027 - ('bat2 vybiti', -0.49467692375183103)
2022-12-15 05:25:49,786 - ('suma minutpro bat1', -1.0681482434272767)
2022-12-15 05:26:06,706 - ('suma minut vybiti pro bat1', -0.2708287278811137)
2022-12-15 05:27:15,079 - ('bat2 nabiti', -0.4246369441350301)
2022-12-15 05:27:53,557 - ('bat2 vybiti', -0.6301844557126363)
2022-12-15 05:29:08,206 - ('suma minutpro bat1', -1.2329668283462525)
2022-12-15 05:29:25,145 - ('suma minut vybiti pro bat1', -0.27111032406489055)
2022-12-15 05:29:52,937 - ('bat2 nabiti', -0.42488595644632976)
2022-12-15 05:30:16,158 - ('bat2 vybiti', -0.37572354475657144)
2022-12-15 05:31:30,979 - ('suma minutpro bat1', -1.2357598026593526)
2022-12-15 05:31:32,285 - ('suma minut vybiti pro bat1', -0.010374244054158528)
2022-12-15 05:37:20,242 - ('bat2 nabiti', -0.42492804129918416)
2022-12-15 05:37:43,607 - ('bat2 vybiti', -0.3783707499504089)
2022-12-15 05:38:48,403 - ('suma minutpro bat1', -1.06880011955897)
2022-12-15 05:39:05,334 - ('suma minut vybiti pro bat1', -0.2710636933644613)
2022-12-15 05:39:33,101 - ('bat2 nabiti', -0.4243858297665914)
2022-12-15 05:39:56,371 - ('bat2 vybiti', -0.3768277883529663)
2022-12-15 05:41:11,156 - ('suma minutpro bat1', -1.2352916161219278)
2022-12-15 05:41:28,080 - ('suma minut vybiti pro bat1', -0.27099936405817665)
2022-12-15 05:41:55,911 - ('bat2 nabiti', -0.4248825947443644)
2022-12-15 05:42:19,136 - ('bat2 vybiti', -0.3758983771006266)
2022-12-15 05:43:33,767 - ('suma minutpro bat1', -1.2325307369232177)
2022-12-15 05:43:50,711 - ('suma minut vybiti pro bat1', -0.27105897267659507)
2022-12-15 05:44:18,567 - ('bat2 nabiti', -0.42529892524083457)
2022-12-15 05:44:41,853 - ('bat2 vybiti', -0.37657941579818727)
2022-12-15 05:45:56,706 - ('suma minutpro bat1', -1.23618586063385)
2022-12-15 05:46:13,668 - ('suma minut vybiti pro bat1', -0.27112499475479124)
2022-12-15 05:46:41,440 - ('bat2 nabiti', -0.4241551081339518)
2022-12-15 05:46:53,367 - ('bat2 vybiti', -0.18761880397796632)
2022-12-15 05:46:54,683 - ('suma minutpro bat1', -0.010335779190063477)
2022-12-15 05:46:55,940 - ('suma minut vybiti pro bat1', -0.010326234499613444)
2022-12-15 06:01:56,885 - ('bat2 nabiti', -0.4244383613268534)
2022-12-15 06:02:54,706 - ('bat2 nabiti', -0.4229552745819092)
2022-12-15 06:05:28,713 - ('bat2 nabiti', -0.6355326811472575)
2022-12-15 06:05:55,694 - ('bat2 vybiti', -0.43863145510355633)
2022-12-15 06:07:42,235 - ('bat2 nabiti', -0.42289280891418457)
2022-12-15 06:08:05,625 - ('bat2 vybiti', -0.3784901698430379)
